Apellido,Total
CESPEDES,6752
GIRON,6740
ZURITA,6730
GAMERO,6715
RODRIGUES,6707
PLANAS,6704
ANDUJAR,6698
MIR,6698
CAÑADAS,6692
PICAZO,6665
GOÑI,6649
SALES,6612
PARADA,6593
ARELLANO,6568
PERERA,6555
GORDO,6527
LEMA,6526
ROMO,6522
GUISADO,6513
PICO,6502
RIAL,6501
FRUTOS,6498
TORREGROSA,6491
VIERA,6487
RIQUELME,6482
MESTRE,6478
ALAMO,6477
AMOR,6475
CARRASCOSA,6471
PALAU,6467
SOLANA,6461
AMORES,6450
VILCHES,6448
GUEVARA,6448
SABATER,6440
CENTENO,6438
CODINA,6435
MERA,6427
ADAN,6424
SEGUI,6422
BOTELLA,6409
QUIROGA,6403
ARNAU,6400
VEGAS,6383
CALATAYUD,6370
LORA,6346
NOVO,6328
DE DIOS,6327
NEVADO,6314
GABARRI,6311
QUERO,6298
PALAZON,6289
TOLEDANO,6283
HERMOSO,6280
CHICO,6279
ANTUNEZ,6275
BENAVIDES,6267
PAREJO,6260
FUENTE,6251
HERRAIZ,6249
RIBES,6248
ANTOLIN,6239
REVILLA,6231
LABRADOR,6222
CANTOS,6217
NIEVES,6203
PELLICER,6187
JAIME,6185
FONSECA,6176
NEIRA,6175
JIMENO,6165
DEL MORAL,6155
RAMIRO,6154
SILVESTRE,6142
BELDA,6138
ZHU,6125
VICO,6120
TORRALBA,6115
VERDUGO,6114
FARRE,6095
SEMPERE,6095
CAAMAÑO,6094
POSTIGO,6082
GUIRADO,6079
CORDON,6075
MEGIAS,6074
HOYOS,6062
YAGUE,6061
ELVIRA,6052
MONTENEGRO,6033
MANSILLA,6023
SACRISTAN,6023
PIÑA,6014
FLOREZ,6011
COMAS,6005
ALEMANY,6005
GUARDIOLA,6003
GALIANO,5979
CANTO,5974
ROSELL,5967
URIARTE,5929
CABANILLAS,5927
BERROCAL,5914
CAPDEVILA,5905
SOUSA,5905
VACA,5904
AROCA,5888
COLOMER,5884
CAÑIZARES,5882
ZHENG,5879
LLANOS,5875
ARNAIZ,5845
ABREU,5840
CORNEJO,5829
MATOS,5826
QUIÑONES,5818
ROSELLO,5813
RUS,5802
GILABERT,5789
PERELLO,5763
SANS,5762
TRILLO,5760
GISBERT,5760
FEIJOO,5759
CHAPARRO,5753
ESPIN,5742
OLIVEIRA,5742
FIGUERAS,5736
CERDAN,5718
RIO,5717
MAZA,5715
CRISTOBAL,5705
PORTELA,5692
MONTEAGUDO,5690
SAN JUAN,5686
MAÑAS,5686
TORREJON,5664
CARRANZA,5658
TUDELA,5645
AMADO,5633
ALIAGA,5632
MERCADO,5617
GARRIGA,5612
BARRIENTOS,5604
CAMPOY,5599
OVIEDO,5590
AMAT,5582
CARPIO,5578
BETANCOR,5576
SECO,5572
MESEGUER,5550
MURIEL,5545
TEJERA,5532
OLIVERA,5531
ESPINO,5525
HOLGADO,5521
REIG,5518
BASTIDA,5508
MARMOL,5507
MORILLA,5494
JULIAN,5482
SALDAÑA,5479
CAMINO,5473
PLASENCIA,5421
SAN MIGUEL,5418
VALCARCEL,5407
GAVILAN,5406
SAMPER,5397
LIMA,5383
CASTELLS,5368
GUIRAO,5357
MORERA,5356
MELGAR,5345
RUZ,5317
NDIAYE,5314
